x_loc,y_loc,game_clock
47.23342,22.79412,215.12
47.74557,22.79995,215.08
48.25491,22.81623,215.04
48.758,22.83103,215.0
49.25918,22.85072,214.96
49.75233,22.87111,214.92
50.24367,22.88712,214.88
50.71297,22.90676,214.84
51.17828,22.93086,214.8
51.64168,22.96097,214.76
52.11824,22.9912,214.72
52.59833,23.01865,214.68
53.07172,23.05471,214.64
53.53016,23.08948,214.6
53.98106,23.12057,214.56
54.42615,23.15173,214.52
54.86697,23.19006,214.48
55.29861,23.23319,214.44
55.71838,23.27981,214.4
56.12383,23.32767,214.36
56.53697,23.39297,214.32
56.93814,23.46747,214.28
57.33774,23.55514,214.24
57.74133,23.64545,214.2
58.14238,23.74331,214.16
58.52616,23.85078,214.12
58.90266,23.95956,214.08
59.27788,24.06629,214.04
59.64588,24.17565,214.0
60.01716,24.28861,213.96
60.38602,24.404,213.92
60.7339,24.51031,213.88
61.08311,24.62494,213.84
61.42161,24.73909,213.8
61.75659,24.85251,213.76
62.06997,24.95305,213.72
62.38183,25.05157,213.68
62.66967,25.13487,213.64
62.94188,25.20649,213.6
63.1989,25.28442,213.56
63.43471,25.34662,213.52
63.65089,25.40842,213.48
63.84763,25.46349,213.44
64.02797,25.50896,213.4
64.17811,25.54991,213.36
64.30083,25.58317,213.32
64.40777,25.60329,213.28
64.48947,25.60404,213.24
64.56133,25.60749,213.2
64.61761,25.60407,213.16
64.65913,25.59964,213.12
64.67898,25.58343,213.08
64.69306,25.56992,213.04
64.68971,25.55749,213.0
64.6726,25.53323,212.96
64.64279,25.50967,212.92
64.59959,25.47696,212.88
64.55018,25.4443,212.84
64.49461,25.41439,212.8
64.43533,25.38858,212.76
64.37783,25.37487,212.72
64.31955,25.37271,212.68
64.2623,25.37509,212.64
64.20191,25.38466,212.6
64.14793,25.41111,212.56
64.11959,25.45151,212.52
64.11079,25.50367,212.48
64.10875,25.5861,212.44
64.12208,25.68481,212.4
64.18658,25.77718,212.36
64.28229,25.90003,212.32
64.41206,26.04149,212.28
64.52904,26.17375,212.24
64.67296,26.30778,212.2
64.84496,26.44928,212.16
65.04374,26.59342,212.12
65.28108,26.75532,212.08
65.54655,26.93435,212.04
65.8434,27.12693,212.0
66.17152,27.31285,211.96
66.51367,27.51113,211.92
66.87684,27.70154,211.88
67.26666,27.85171,211.84
67.66576,28.00901,211.8
68.04972,28.17653,211.76
68.44215,28.32546,211.72
68.8343,28.46029,211.68
69.26836,28.6169,211.64
69.70719,28.78073,211.6
70.14558,28.9424,211.56
70.57545,29.10305,211.52
70.98934,29.24848,211.48
71.38286,29.38917,211.44
71.74973,29.53398,211.4
72.08714,29.68747,211.36
72.38885,29.82404,211.32
72.65351,29.97228,211.28
72.88159,30.14167,211.24
73.08665,30.30111,211.2
73.25941,30.46626,211.16
73.39776,30.63482,211.12
73.50814,30.81594,211.08
73.58877,30.99377,211.04
73.64031,31.17108,211.0
73.66446,31.34759,210.96
73.65923,31.51204,210.92
73.60546,31.67444,210.88
73.5171,31.83067,210.84
73.40472,31.97065,210.8
73.26317,32.09348,210.76
73.10493,32.20485,210.72
72.92723,32.30559,210.68
72.73512,32.39308,210.64
72.51197,32.46161,210.6
72.26246,32.51038,210.56
71.97951,32.53689,210.52
71.67156,32.53881,210.48
71.33824,32.52358,210.44
70.98048,32.49659,210.4
70.61411,32.4661,210.36
70.23605,32.42416,210.32
69.86634,32.38408,210.28
69.49908,32.33273,210.24
69.12859,32.272,210.2
68.73615,32.1846,210.16
68.32393,32.09702,210.12
67.90253,32.00091,210.08
67.46742,31.8991,210.04
67.11424,31.78626,210.0
66.83673,31.66143,209.96
66.64418,31.52703,209.92
